,Lintang (deg),Bujur (deg),Tanggal (dd/mm/yyy),Tingkat Kepercayaan (%),Kecamatan,Kabupaten,Provinsi
17372,0.48028699999999996,100.66516899999999,2014-07-26,100.0,Tapungkiri,Kampar,Riau
17373,1.717427,109.33310700000001,2014-07-26,55.0,Tapungkiri,Kampar,Riau
17374,1.784529,109.379028,2014-07-26,100.0,Tapungkiri,Kampar,Riau
17375,1.780603,109.351997,2014-07-26,74.0,Tapungkiri,Kampar,Riau
17436,0.428253,100.478661,2015-07-11,39.0,Tiga Belas Koto Kampar,Kampar,Riau
17437,1.8760009999999998,109.425102,2015-07-11,64.0,Tiga Belas Koto Kampar,Kampar,Riau
17438,1.9231599999999998,109.45648999999999,2015-07-11,59.0,Tiga Belas Koto Kampar,Kampar,Riau
17439,1.9585599999999999,109.55410800000001,2015-07-11,79.0,Tiga Belas Koto Kampar,Kampar,Riau
17561,-0.064025,101.507362,2015-07-05,94.0,Kampar Kiri Hilir,Kampar,Riau
17562,-0.06614099999999999,101.493057,2015-07-05,100.0,Kampar Kiri Hilir,Kampar,Riau
17565,-0.06404,101.500648,2015-07-05,100.0,Kampar Kiri Hilir,Kampar,Riau
17566,-0.066061,101.486275,2015-07-05,88.0,Kampar Kiri Hilir,Kampar,Riau
17567,-0.050761,101.513451,2015-07-05,34.0,Kampar Kiri Hilir,Kampar,Riau
17568,-0.034451999999999997,101.467026,2015-07-05,81.0,Kampar Kiri Hilir,Kampar,Riau
17569,-0.019084,101.494209,2015-07-05,83.0,Kampar Kiri Hilir,Kampar,Riau
17570,0.196208,102.807281,2015-07-05,41.0,Kampar Kiri Hilir,Kampar,Riau
17571,0.069702,101.068634,2015-07-05,70.0,Kampar Kiri,Kampar,Riau
17572,0.11248499999999999,100.980675,2015-07-05,75.0,Tiga Belas Koto Kampar,Kampar,Riau
17573,0.416696,102.973518,2015-07-05,65.0,Tiga Belas Koto Kampar,Kampar,Riau
17574,0.4138810000000001,102.95444499999999,2015-07-05,58.0,Tiga Belas Koto Kampar,Kampar,Riau
17575,0.415268,102.9683,2015-07-05,72.0,Tiga Belas Koto Kampar,Kampar,Riau
17576,0.454456,103.06111899999999,2015-07-05,34.0,Tiga Belas Koto Kampar,Kampar,Riau
17579,0.700968,101.239349,2015-07-05,76.0,Tapung Hilir,Kampar,Riau
17580,0.879784,102.273575,2015-07-05,34.0,Tapung Hilir,Kampar,Riau
17649,-0.032642000000000004,101.479729,2015-07-09,81.0,Kampar Kiri Hilir,Kampar,Riau
17650,-0.033992,101.47023,2015-07-09,60.0,Kampar Kiri Hilir,Kampar,Riau
17652,0.11468099999999999,100.98565699999999,2015-07-09,92.0,Tiga Belas Koto Kampar,Kampar,Riau
17742,0.428253,100.478661,2015-07-11,39.0,Tiga Belas Koto Kampar,Kampar,Riau
17743,1.8760009999999998,109.425102,2015-07-11,64.0,Tiga Belas Koto Kampar,Kampar,Riau
17744,1.9231599999999998,109.45648999999999,2015-07-11,59.0,Tiga Belas Koto Kampar,Kampar,Riau
17745,1.9585599999999999,109.55410800000001,2015-07-11,79.0,Tiga Belas Koto Kampar,Kampar,Riau
17867,0.578795,101.154678,2015-07-09,51.0,Tapung,Kampar,Riau
17868,0.287955,103.070755,2015-07-09,47.0,Tapung,Kampar,Riau
17870,0.5294800000000001,100.992928,2015-07-09,57.0,Tapung,Kampar,Riau
17962,0.46896499999999997,101.265366,2015-07-11,56.0,Tapung,Kampar,Riau
17963,0.4875640000000001,100.659821,2015-07-11,63.0,Tapungkiri,Kampar,Riau
17964,0.18297,101.130714,2015-07-11,55.0,Bangkinang,Kampar,Riau
17983,0.28459,101.29988900000001,2015-07-16,73.0,Tambang,Kampar,Riau
17985,0.42658100000000004,100.68626400000001,2015-07-16,74.0,Tapungkiri,Kampar,Riau
17994,0.716591,101.23494699999999,2015-07-16,62.0,Tapung Hilir,Kampar,Riau
18009,0.28459,101.29988900000001,2015-07-16,73.0,Tambang,Kampar,Riau
18011,0.42658100000000004,100.68626400000001,2015-07-16,74.0,Tapungkiri,Kampar,Riau
18020,0.716591,101.23494699999999,2015-07-16,62.0,Tapung Hilir,Kampar,Riau
18096,-0.032008999999999996,100.84227800000001,2015-07-22,67.0,Kampar Kiri Hulu,Kampar,Riau
18097,-0.037611,100.80330699999999,2015-07-22,55.0,Kampar Kiri Hulu,Kampar,Riau
18099,-0.029345999999999997,100.838631,2015-07-22,71.0,Kampar Kiri Hulu,Kampar,Riau
18100,0.409843,102.953362,2015-07-22,30.0,Kampar Kiri Hulu,Kampar,Riau
18120,-0.032008999999999996,100.842285,2015-07-22,67.0,Kampar Kiri Hulu,Kampar,Riau
18121,-0.037611,100.80330699999999,2015-07-22,55.0,Kampar Kiri Hulu,Kampar,Riau
18123,-0.029345999999999997,100.838631,2015-07-22,71.0,Kampar Kiri Hulu,Kampar,Riau
18124,0.409843,102.953362,2015-07-22,30.0,Kampar Kiri Hulu,Kampar,Riau
18160,-0.055478,100.862503,2015-07-23,71.0,Kampar Kiri Hulu,Kampar,Riau
18161,0.241479,102.866821,2015-07-23,55.0,Kampar Kiri Hulu,Kampar,Riau
18163,-0.056789,100.788841,2015-07-23,71.0,Kampar Kiri Hulu,Kampar,Riau
18164,0.08136,100.92128000000001,2015-07-23,90.0,Tiga Belas Koto Kampar,Kampar,Riau
18165,0.080049,100.912163,2015-07-23,51.0,Tiga Belas Koto Kampar,Kampar,Riau
18166,0.28324499999999997,101.304878,2015-07-23,68.0,Tambang,Kampar,Riau
18171,0.461226,100.677849,2015-07-23,79.0,Tapungkiri,Kampar,Riau
18173,0.462509,100.622292,2015-07-23,83.0,Tiga Belas Koto Kampar,Kampar,Riau
18176,0.6976979999999999,101.243225,2015-07-23,17.0,Tapung Hilir,Kampar,Riau
18224,0.712019,101.23951,2015-07-15,77.0,Tapung Hilir,Kampar,Riau
18225,1.287512,103.710617,2015-07-15,82.0,Tapung Hilir,Kampar,Riau
18226,1.1771690000000001,102.18089300000001,2015-07-15,45.0,Tapung Hilir,Kampar,Riau
18227,1.207475,102.25725600000001,2015-07-15,100.0,Tapung Hilir,Kampar,Riau
18228,1.216861,102.255882,2015-07-15,100.0,Tapung Hilir,Kampar,Riau
18229,1.22625,102.254524,2015-07-15,97.0,Tapung Hilir,Kampar,Riau
18309,0.714829,101.239388,2015-07-16,59.0,Tapung Hilir,Kampar,Riau
18375,-0.19239900000000001,101.159592,2015-07-25,68.0,Kampar Kiri,Kampar,Riau
18393,0.05418099999999999,101.02597,2015-07-25,85.0,Kampar Kiri,Kampar,Riau
18394,0.087203,100.919197,2015-07-25,69.0,Tiga Belas Koto Kampar,Kampar,Riau
18395,0.085783,100.909134,2015-07-25,74.0,Tiga Belas Koto Kampar,Kampar,Riau
18397,0.091769,100.91201,2015-07-25,55.0,Tiga Belas Koto Kampar,Kampar,Riau
18398,0.11071500000000001,100.909256,2015-07-25,74.0,Tiga Belas Koto Kampar,Kampar,Riau
18399,0.10928299999999999,100.899345,2015-07-25,55.0,Tiga Belas Koto Kampar,Kampar,Riau
18400,0.176553,101.03227199999999,2015-07-25,61.0,Tiga Belas Koto Kampar,Kampar,Riau
18401,0.17517,101.02256,2015-07-25,57.0,Tiga Belas Koto Kampar,Kampar,Riau
18405,0.482522,100.66617600000001,2015-07-25,70.0,Tapungkiri,Kampar,Riau
18406,1.0907930000000001,104.026749,2015-07-25,60.0,Tapungkiri,Kampar,Riau
18407,0.693082,101.249115,2015-07-25,59.0,Tapung Hilir,Kampar,Riau
18408,0.691688,101.239525,2015-07-25,78.0,Tapung Hilir,Kampar,Riau
18410,0.891194,100.950829,2015-07-25,82.0,Tapung Hulu,Kampar,Riau
18411,0.8897870000000001,100.94099399999999,2015-07-25,66.0,Tapung Hulu,Kampar,Riau
18452,0.697164,101.23565699999999,2015-07-25,54.0,Tapung Hilir,Kampar,Riau
18454,0.5562600000000001,101.06639100000001,2015-07-25,41.0,Tapung,Kampar,Riau
18455,0.19755999999999999,102.871521,2015-07-25,28.0,Tapung,Kampar,Riau
18456,0.18399200000000002,102.766869,2015-07-25,59.0,Tapung,Kampar,Riau
18457,0.486252,100.668938,2015-07-25,52.0,Tapungkiri,Kampar,Riau
18461,0.118748,100.909424,2015-07-25,47.0,Tiga Belas Koto Kampar,Kampar,Riau
18464,0.08922999999999999,100.92340899999999,2015-07-25,59.0,Tiga Belas Koto Kampar,Kampar,Riau
18465,0.009518,101.08770799999999,2015-07-25,31.0,Kampar Kiri,Kampar,Riau
18505,-0.013041999999999998,101.14376800000001,2015-07-27,60.0,Kampar Kiri,Kampar,Riau
18506,0.007449,100.86934699999999,2015-07-27,92.0,Kampar Kiri Hulu,Kampar,Riau
18507,0.003829,100.881325,2015-07-27,75.0,Kampar Kiri Hulu,Kampar,Riau
18508,0.001303,100.864334,2015-07-27,85.0,Kampar Kiri Hulu,Kampar,Riau
18509,0.351977,102.89109,2015-07-27,25.0,Kampar Kiri Hulu,Kampar,Riau
18510,0.350331,102.87958499999999,2015-07-27,78.0,Kampar Kiri Hulu,Kampar,Riau
18511,0.081178,100.916931,2015-07-27,40.0,Tiga Belas Koto Kampar,Kampar,Riau
18512,0.092954,100.91534399999999,2015-07-27,38.0,Tiga Belas Koto Kampar,Kampar,Riau
18513,0.08831699999999999,100.909248,2015-07-27,47.0,Tiga Belas Koto Kampar,Kampar,Riau
18518,0.560451,101.301086,2015-07-27,33.0,Tapung,Kampar,Riau
18581,0.47371,101.28,2015-07-04,49.0,Tapung,Kampar,Riau
18605,-0.0660815,101.5,2015-07-05,96.0,Kampar Kiri Hilir,Kampar,Riau
18608,-0.026471699999999997,101.48700000000001,2015-07-05,64.0,Kampar Kiri Hilir,Kampar,Riau
18609,-0.0275767,101.48,2015-07-05,100.0,Kampar Kiri Hilir,Kampar,Riau
18610,-0.0297627,101.465,2015-07-05,60.0,Kampar Kiri Hilir,Kampar,Riau
18611,0.121288,100.988,2015-07-05,92.0,Tiga Belas Koto Kampar,Kampar,Riau
18612,0.120148,100.98,2015-07-05,75.0,Tiga Belas Koto Kampar,Kampar,Riau
18613,2.69505,117.757,2015-07-05,100.0,Tiga Belas Koto Kampar,Kampar,Riau
18614,2.6966900000000003,117.757,2015-07-05,100.0,Tiga Belas Koto Kampar,Kampar,Riau
18615,0.442226,101.304,2015-07-05,67.0,Tambang,Kampar,Riau
18616,0.472721,101.285,2015-07-05,96.0,Tapung,Kampar,Riau
18617,0.471612,101.27799999999999,2015-07-05,96.0,Tapung,Kampar,Riau
