,latitude,longitude,Tingkat Kepercayaan (%),label
0,-0.139824,102.88217900000001,42.0,14
1,1.983107,117.39066299999999,59.0,3
2,1.979972,117.368645,66.0,3
3,-0.0076760000000000005,102.74427800000001,25.0,1
4,0.12105,102.80596899999999,16.0,1
5,0.882921,103.101219,43.0,10
6,0.774409,102.384315,47.0,10
7,0.562346,100.405579,69.0,2
8,0.5568069999999999,100.367622,92.0,2
9,0.546775,100.40168,50.0,2
10,0.540981,100.36404399999999,65.0,2
11,0.564016,100.398285,77.0,2
12,0.558335,100.36106099999999,82.0,2
13,1.135818,101.620712,56.0,10
14,1.1650340000000001,101.948425,30.0,18
15,1.211236,100.95039399999999,47.0,10
16,3.7875620000000003,117.44261200000001,60.0,3
17,1.5764719999999999,101.12309300000001,18.0,5
18,1.857791,101.225967,33.0,5
19,1.8865599999999998,100.984177,44.0,5
20,1.8934240000000002,100.807091,45.0,12
21,1.8881830000000002,100.77201099999999,65.0,12
22,1.8993380000000002,100.798462,65.0,12
23,1.986186,100.926422,20.0,5
24,1.927648,100.423897,49.0,12
25,1.9304700000000001,100.419609,52.0,12
26,2.120646,100.383255,32.0,5
27,2.115021,100.345543,53.0,12
28,2.123473,100.37874599999999,72.0,15
29,2.117588,100.341011,65.0,12
30,-0.139825,102.882172,42.0,14
31,1.983107,117.39066299999999,59.0,3
32,1.979972,117.368645,66.0,3
33,1.9889299999999999,117.38476599999998,41.0,3
34,0.562344,100.405563,69.0,2
35,0.556804,100.367599,92.0,2
36,0.546773,100.40166500000001,50.0,2
37,0.540979,100.364029,65.0,2
38,0.564013,100.39827,77.0,2
39,0.558333,100.361046,82.0,2
40,1.13582,101.620728,56.0,10
41,1.165107,101.94858599999999,30.0,18
42,1.221632,100.95552099999999,50.0,10
43,1.211234,100.950378,47.0,10
44,3.7875620000000003,117.44261200000001,60.0,3
45,1.576495,101.123192,18.0,5
46,1.8660009999999998,101.229355,37.0,5
47,1.857789,101.225952,30.0,5
48,1.8865580000000002,100.984161,44.0,5
49,1.8934220000000002,100.807076,45.0,12
50,1.888181,100.772003,65.0,12
51,1.899341,100.798485,65.0,12
52,1.986189,100.92643699999999,20.0,5
53,1.9276509999999998,100.42392,49.0,12
54,1.930495,100.419739,52.0,12
55,2.120647,100.38327,32.0,5
56,2.115023,100.345551,53.0,12
57,2.12347,100.378731,72.0,15
58,2.117585,100.34099599999999,65.0,12
59,2.40108,100.324028,71.0,12
60,2.387695,100.318497,77.0,15
61,2.404651,100.31588,41.0,5
62,1.879774,100.77624499999999,81.0,15
63,1.878455,100.76696,56.0,12
64,2.036325,100.779686,88.0,15
65,2.0140860000000003,100.556503,89.0,15
66,2.028216,100.331085,74.0,15
67,2.037248,100.329796,57.0,12
68,2.115654,100.368317,75.0,15
69,2.114357,100.359222,100.0,7
70,2.1130619999999998,100.35013599999999,91.0,15
71,2.1234,100.357933,96.0,4
72,2.122103,100.348854,98.0,4
73,2.036326,100.77969399999999,88.0,15
74,2.014087,100.556511,89.0,15
75,2.0282169999999997,100.33109300000001,74.0,15
76,2.037248,100.329796,57.0,12
77,2.115654,100.368317,75.0,15
78,2.114357,100.359222,100.0,7
79,2.1130619999999998,100.35013599999999,91.0,15
