Tahun,count,cluster
201401,2,7
201402,287,7
201403,1778,7
201405,6,7
201406,156,7
201407,399,7
201408,14,7
201409,34,7
201410,4,7
201501,12,7
201502,84,7
201503,218,7
201504,24,7
201505,10,7
201506,93,7
201507,678,7
201508,46,7
201509,496,7
201510,104,7
201511,4,7
201512,2,7
201602,27,7
201603,100,7
201604,57,7
201606,3,7
201607,20,7
201608,74,7
201609,5,7
201610,17,7
201612,2,7
201701,3,7
201702,15,7
201706,1,7
201707,12,7
201708,7,7
201710,6,7
201801,25,7
201802,61,7
201804,10,7
201805,1,7
201806,1,7
201807,37,7
201808,378,7
201809,117,7
201810,13,7
201812,1,7
201901,2,7
201902,131,7
201903,163,7
201904,4,7
201905,7,7
201906,4,7
201907,46,7
201908,485,7
