Tahun,count,cluster
201401,27,10
201402,791,10
201403,1003,10
201404,53,10
201405,16,10
201406,144,10
201407,151,10
201408,55,10
201409,50,10
201410,39,10
201411,14,10
201412,2,10
201501,12,10
201502,118,10
201503,166,10
201504,125,10
201505,71,10
201506,142,10
201507,366,10
201508,37,10
201509,110,10
201510,21,10
201511,6,10
201512,62,10
201601,83,10
201602,137,10
201603,104,10
201604,185,10
201605,47,10
201606,37,10
201607,54,10
201608,206,10
201609,55,10
201610,51,10
201612,8,10
201701,35,10
201702,13,10
201703,7,10
201704,7,10
201705,11,10
201706,19,10
201707,68,10
201708,19,10
201709,5,10
201710,28,10
201711,5,10
201712,4,10
201801,45,10
201802,76,10
201803,78,10
201804,60,10
201805,42,10
201806,24,10
201807,49,10
201808,318,10
201809,36,10
201810,13,10
201811,6,10
201812,1,10
201901,7,10
201902,91,10
201903,217,10
201904,29,10
201905,54,10
201906,15,10
201907,85,10
201908,340,10
