Tahun,count,cluster
201401,23,14
201402,237,14
201403,347,14
201404,55,14
201405,46,14
201406,80,14
201407,61,14
201408,24,14
201409,103,14
201410,83,14
201411,20,14
201412,10,14
201501,59,14
201502,50,14
201503,28,14
201504,94,14
201505,74,14
201506,168,14
201507,276,14
201508,57,14
201509,350,14
201510,52,14
201511,12,14
201512,134,14
201601,43,14
201602,12,14
201603,41,14
201604,120,14
201605,64,14
201606,50,14
201607,47,14
201608,26,14
201609,28,14
201610,9,14
201611,2,14
201612,17,14
201701,27,14
201702,30,14
201703,31,14
201704,25,14
201705,58,14
201706,57,14
201707,44,14
201708,48,14
201709,27,14
201710,36,14
201711,13,14
201712,10,14
201801,70,14
201802,89,14
201803,64,14
201804,51,14
201805,39,14
201806,23,14
201807,32,14
201808,76,14
201809,71,14
201810,37,14
201811,14,14
201812,9,14
201901,10,14
201902,55,14
201903,129,14
201904,39,14
201905,55,14
201906,39,14
201907,165,14
201908,427,14
