Tahun,count,cluster
201401,45,8
201402,381,8
201403,466,8
201404,4,8
201405,17,8
201406,47,8
201407,26,8
201408,11,8
201409,46,8
201410,30,8
201411,4,8
201412,4,8
201501,22,8
201502,21,8
201503,67,8
201504,38,8
201505,22,8
201506,74,8
201507,275,8
201508,54,8
201509,432,8
201510,41,8
201511,1,8
201512,2,8
201601,19,8
201602,37,8
201603,34,8
201604,87,8
201605,15,8
201606,18,8
201607,24,8
201608,20,8
201609,8,8
201610,3,8
201611,1,8
201612,2,8
201701,6,8
201702,10,8
201703,2,8
201704,3,8
201705,15,8
201706,17,8
201707,12,8
201708,17,8
201709,1,8
201710,10,8
201711,7,8
201712,1,8
201801,27,8
201802,107,8
201803,20,8
201804,5,8
201805,13,8
201806,4,8
201807,17,8
201808,48,8
201809,28,8
201810,7,8
201811,3,8
201901,2,8
201902,71,8
201903,133,8
201904,7,8
201905,18,8
201906,11,8
201907,175,8
201908,513,8
