Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
-8.338509,138.747498,2014-12-01,04:34:00,16,aqua,Kimaam , Merauke , Papua 
-8.303387,138.769867,2014-12-01,04:34:00,25,aqua,Kimaam , Kab. Merauke , Papua 
-8.341333,138.03241,2014-12-01,04:34:00,51,aqua,Waan , Merauke , Papua 
-8.342846,138.022095,2014-12-01,04:34:00,47,aqua,Waan , Merauke , Papua 
-8.348869,137.981064,2014-12-01,04:34:00,20,aqua,Waan , Merauke , Papua 
-8.251535,138.573578,2014-12-01,04:34:00,50,aqua,Kimaam , Merauke , Papua 
-8.253169,138.562576,2014-12-01,04:34:00,48,aqua,Kimaam , Merauke , Papua 
-8.25149,138.506256,2014-12-01,04:34:00,65,aqua,Kimaam , Merauke , Papua 
-8.253115,138.495346,2014-12-01,04:34:00,69,aqua,Kimaam , Merauke , Papua 
-8.257975,138.462692,2014-12-01,04:34:00,76,aqua,Kimaam , Merauke , Papua 
-8.300721,138.174866,2014-12-01,04:34:00,72,aqua,Waan , Merauke , Papua 
-8.336398,137.802856,2014-12-01,04:34:00,81,aqua,Waan , Merauke , Papua 
-8.325466,137.811462,2014-12-01,04:34:00,84,aqua,Waan , Merauke , Papua 
-8.314522,137.820084,2014-12-01,04:34:00,92,aqua,Waan , Merauke , Papua 
-8.316025,137.810028,2014-12-01,04:34:00,61,aqua,Waan , Merauke , Papua 
-8.317525,137.799973,2014-12-01,04:34:00,50,aqua,Waan , Merauke , Papua 
-8.303568,137.82872,2014-12-01,04:34:00,77,aqua,Waan , Merauke , Papua 
-8.305076,137.818649,2014-12-01,04:34:00,84,aqua,Waan , Merauke , Papua 
-8.306583,137.808578,2014-12-01,04:34:00,37,aqua,Waan , Merauke , Papua 
-7.570894,138.132339,2014-12-01,04:34:00,31,aqua,Tabonji , Merauke , Papua 
-6.364137,140.934311,2014-12-01,04:34:00,55,aqua,Sesnukt , Boven Digoel , Papua 
-7,123.591484,2014-12-01,17:02:00,64,aqua,Sesnukt , Boven Digoel , Papua 
-9.969391,124.241806,2014-12-02,05:15:00,54,aqua,                                         , Kab. Timor Tengah Selatan , Nusa Tenggara Timur 
-9.767969,124.760468,2014-12-02,05:15:00,81,aqua,                                         , Kab. Timor Tengah Selatan , Nusa Tenggara Timur 
-9.66012,124.932663,2014-12-02,05:15:00,81,aqua,Malak Barat , Kab. Malaka , Nusa Tenggara Timur 
-9.432751,125.108711,2014-12-02,05:15:00,44,aqua,Malak Barat , Kab. Malaka , Nusa Tenggara Timur 
-9.457263,124.937004,2014-12-02,05:15:00,84,aqua,Malaka Timur , Kab. Malaka , Nusa Tenggara Timur 
2,99.614235,2014-12-02,06:55:00,29,aqua,Na Ix - X , Labuhanbatu Utara , Sumatera Utara 
-8.961095,140.928497,2014-12-03,04:23:00,65,aqua,Naukenjerai , Merauke , Papua 
-8.972918,140.849274,2014-12-03,04:23:00,47,aqua,Naukenjerai , Kab. Merauke , Papua 
-8.336388,140.365585,2014-12-03,04:23:00,33,aqua,Malind , Kab. Merauke , Papua 
-8.220124,140.093628,2014-12-03,04:23:00,73,aqua,Malind , Kab. Merauke , Papua 
-8.221486,140.084244,2014-12-03,04:23:00,61,aqua,Malind , Kab. Merauke , Papua 
-8.347962,138.825745,2014-12-03,04:23:00,63,aqua,Kimaam , Kab. Merauke , Papua 
-8.356984,138.762695,2014-12-03,04:23:00,93,aqua,Kimaam , Merauke , Papua 
-8.358273,138.753693,2014-12-03,04:23:00,64,aqua,Kimaam , Merauke , Papua 
-8.344154,138.788406,2014-12-03,04:23:00,56,aqua,Kimaam , Kab. Merauke , Papua 
-8.348019,138.761383,2014-12-03,04:23:00,48,aqua,Kimaam , Kab. Merauke , Papua 
-8.340342,138.751068,2014-12-03,04:23:00,63,aqua,Kimaam , Merauke , Papua 
-8.341628,138.74205,2014-12-03,04:23:00,71,aqua,Kimaam , Merauke , Papua 
-8.151648,139.987671,2014-12-03,04:23:00,89,aqua,Malind , Kab. Merauke , Papua 
-8.141033,140.009048,2014-12-03,04:23:00,45,aqua,Malind , Kab. Merauke , Papua 
-8.131907,140.007675,2014-12-03,04:23:00,64,aqua,Malind , Kab. Merauke , Papua 
-8.310597,138.639908,2014-12-03,04:23:00,66,aqua,Kimaam , Merauke , Papua 
-8.311885,138.630905,2014-12-03,04:23:00,55,aqua,Kimaam , Merauke , Papua 
-8.292618,138.701675,2014-12-03,04:23:00,77,aqua,Kimaam , Kab. Merauke , Papua 
-8.249032,138.750458,2014-12-03,04:23:00,71,aqua,Kimaam , Merauke , Papua 
-8.355753,137.997375,2014-12-03,04:23:00,46,aqua,Waan , Merauke , Papua 
-8.359629,137.969772,2014-12-03,04:23:00,32,aqua,Waan , Merauke , Papua 
-8.068525,139.931458,2014-12-03,04:23:00,93,aqua,Okaba , Kab. Merauke , Papua 
-8.069895,139.92215,2014-12-03,04:23:00,74,aqua,Okaba , Kab. Merauke , Papua 
-8.3467,137.996063,2014-12-03,04:23:00,73,aqua,Waan , Merauke , Papua 
