Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
-7,138,2016-11-01,01:12:00,54,terra,undefined,undefined,undefined
-8.388453,140.611328,2016-11-01,01:12:00,42,terra,Tanah Miring , Merauke , Papua 
-8.503639,140.704193,2016-11-01,01:12:00,70,terra,Merauke , Merauke , Papua 
-5,119,2016-11-01,02:47:00,20,terra,Merauke , Merauke , Papua 
-8.158968,122.886971,2016-11-01,02:47:00,45,terra,Tanjung Bunga , Flores Timur , Nusa Tenggara Timur 
-8.37881,123.202087,2016-11-01,02:47:00,28,terra,Adonara Timur , Flores Timur , Nusa Tenggara Timur 
-8.11189,118.078392,2016-11-01,02:47:00,74,terra,Tambora , Bima , Nusa Tenggara Barat 
-8.119863,118.070641,2016-11-01,02:47:00,96,terra,Tambora , Bima , Nusa Tenggara Barat 
-8.121942,118.086372,2016-11-01,02:47:00,94,terra,Tambora , Bima , Nusa Tenggara Barat 
-8.124095,118.102684,2016-11-01,02:47:00,75,terra,Tambora , Bima , Nusa Tenggara Barat 
-8.296968,118.536652,2016-11-01,02:47:00,94,terra,Soromandi , Bima , Nusa Tenggara Barat 
-8.361657,118.650787,2016-11-01,02:47:00,56,terra,Soromandi , Bima , Nusa Tenggara Barat 
-8.353384,118.646233,2016-11-01,02:47:00,46,terra,Soromandi , Bima , Nusa Tenggara Barat 
-8.579274,114.147758,2016-11-01,02:47:00,47,terra,Siliragung , Banyuwangi , Jawa Timur 
-8.60943,119.025291,2016-11-01,02:48:00,20,terra,Lambu , Bima , Nusa Tenggara Barat 
-8.776649,118.711884,2016-11-01,02:48:00,36,terra,Monta , Bima , Nusa Tenggara Barat 
-8.62971,140.706,2016-11-01,04:40:14,73,snpp,Naukenjerai , Merauke , Papua 
-8.63074,140.7,2016-11-01,04:40:14,62,snpp,Naukenjerai , Merauke , Papua 
-10.2531,123.939,2016-11-01,04:40:14,72,snpp,Amarasi , Kupang , Nusa Tenggara Timur 
-10.2538,123.934,2016-11-01,04:40:14,51,snpp,Amarasi , Kupang , Nusa Tenggara Timur 
-10.1212,124.142,2016-11-01,04:40:14,72,snpp,Amarasi Timur , Kupang , Nusa Tenggara Timur 
-10.1194,124.14,2016-11-01,04:40:14,77,snpp,Amarasi Timur , Kupang , Nusa Tenggara Timur 
-9.483211,124.641823,2016-11-01,05:39:00,48,aqua,Insana , Timor Tengah Utara , Nusa Tenggara Timur 
-10.0003,123.747,2016-11-01,04:40:14,50,snpp,Sulamu , Kupang , Nusa Tenggara Timur 
-8.480996,124.271088,2016-11-01,05:39:00,61,aqua,Pantar Timur , Alor , Nusa Tenggara Timur 
-8.831949,118.566147,2016-11-01,05:39:00,79,aqua,Parado , Bima , Nusa Tenggara Barat 
-8.785694,118.691261,2016-11-01,05:39:00,57,aqua,Monta , Bima , Nusa Tenggara Barat 
-8.776732,118.689911,2016-11-01,05:39:00,36,aqua,Monta , Bima , Nusa Tenggara Barat 
-8.87499,117.86676,2016-11-01,05:39:00,46,aqua,Plampang , Sumbawa , Nusa Tenggara Barat 
-9.74925,124.718,2016-11-01,04:40:14,65,snpp,Santian , Timor Tengah Selatan , Nusa Tenggara Timur 
-8.827059,118.010406,2016-11-01,05:39:00,18,aqua,Empang , Sumbawa , Nusa Tenggara Barat 
-8.573739,118.822845,2016-11-01,05:39:00,67,aqua,Wawo , Bima , Nusa Tenggara Barat 
-8.621497,118.359558,2016-11-01,05:39:00,68,aqua,Woja , Dompu , Nusa Tenggara Barat 
-8.690481,117.420273,2016-11-01,05:39:00,40,aqua,Moyohulu , Sumbawa , Nusa Tenggara Barat 
-9.68673,124.129,2016-11-01,04:40:14,57,snpp,Nunbena , Timor Tengah Selatan , Nusa Tenggara Timur 
-8.6563,117.328644,2016-11-01,05:39:00,35,aqua,Moyohulu , Sumbawa , Nusa Tenggara Barat 
-8.422818,117.552116,2016-11-01,05:39:00,20,aqua,Moyo Utara , Sumbawa , Nusa Tenggara Barat 
-8.155687,117.817741,2016-11-01,05:39:00,26,aqua,Tambora , Bima , Nusa Tenggara Barat 
-8.156997,117.808472,2016-11-01,05:39:00,47,aqua,Tambora , Bima , Nusa Tenggara Barat 
-9.68757,124.122,2016-11-01,04:40:14,100,snpp,Nunbena , Timor Tengah Selatan , Nusa Tenggara Timur 
-2.52956,121.576958,2016-11-01,05:39:00,64,aqua,Towuti , Luwu Timur , Sulawesi Selatan 
-2.361156,119.588486,2016-11-01,05:39:00,69,aqua,Kalumpang , Mamuju , Sulawesi Barat 
-9.888522,119.849442,2016-11-01,05:40:00,62,aqua,Katala Hamu Lingu , Sumba Timur , Nusa Tenggara Timur 
-9.68841,124.116,2016-11-01,04:40:14,45,snpp,Nunbena , Timor Tengah Selatan , Nusa Tenggara Timur 
-9.68437,124.127,2016-11-01,04:40:14,90,snpp,Nunbena , Timor Tengah Selatan , Nusa Tenggara Timur 
-8.334745,120.708336,2016-11-01,05:40:00,26,aqua,Sambirampas , Manggarai Timur , Nusa Tenggara Timur 
-9.68526,124.12,2016-11-01,04:40:14,100,snpp,Nunbena , Timor Tengah Selatan , Nusa Tenggara Timur 
-8.393541,117.163132,2016-11-01,05:40:00,83,aqua,Utan , Sumbawa , Nusa Tenggara Barat 
-9.53974,124.688,2016-11-01,04:40:14,82,snpp,Insana , Timor Tengah Utara , Nusa Tenggara Timur 
-9.54118,124.677,2016-11-01,04:40:14,70,snpp,Insana , Timor Tengah Utara , Nusa Tenggara Timur 
-9.4788,124.64,2016-11-01,04:40:14,76,snpp,Insana , Timor Tengah Utara , Nusa Tenggara Timur 
-9.39213,124.567,2016-11-01,04:41:39,64,snpp,Insana Tengah , Timor Tengah Utara , Nusa Tenggara Timur 
