Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
-7.609128,138.742966,2014-06-01,04:29:00,33,aqua,Tabonji , Merauke , Papua 
-8.235572,113.046906,2014-06-01,06:04:00,70,aqua,Tabonji , Merauke , Papua 
-7.456723,110.952148,2014-06-01,06:04:00,48,aqua,Sidoharjo , Sragen , Jawa Tengah 
-6.062577,106.457626,2014-06-01,06:04:00,61,aqua,Kemiri , Tangerang , Banten 
-0.503774,109.839661,2014-06-01,06:04:00,49,aqua,Batu Ampar , Kubu Raya , Kalimantan Barat 
0.36365,110.505806,2014-06-01,06:04:00,67,aqua,Bonti , Sanggau , Kalimantan Barat 
-9.21416,124.991524,2014-06-02,05:12:00,68,aqua,Bonti , Sanggau , Kalimantan Barat 
-1,122.445312,2014-06-02,17:33:00,67,aqua,Pagimana , Banggai , Sulawesi Tengah 
-1.39239,122.457253,2014-06-02,17:33:00,81,aqua,Pagimana , Banggai , Sulawesi Tengah 
-0.863692,134.065369,2014-06-03,04:18:00,25,aqua,Manokwari , Manokwari , Papua Barat 
-9.417969,119.167671,2014-06-03,05:52:00,67,aqua,                                         , Kab. Sumba Barat Daya , Nusa Tenggara Timur 
-8.152051,118.130135,2014-06-03,05:52:00,31,aqua,Tambora , Bima , Nusa Tenggara Barat 
-8.235036,113.045074,2014-06-03,05:52:00,68,aqua,Tambora , Bima , Nusa Tenggara Barat 
-2.585255,121.375114,2014-06-03,05:52:00,72,aqua,Nuha , Luwu Timur , Sulawesi Selatan 
-8.152053,118.130127,2014-06-03,05:54:00,31,aqua,Tambora , Bima , Nusa Tenggara Barat 
-8.235035,113.045074,2014-06-03,05:54:00,68,aqua,Tambora , Bima , Nusa Tenggara Barat 
-2.585255,121.375114,2014-06-03,05:54:00,72,aqua,Nuha , Luwu Timur , Sulawesi Selatan 
0,128.318344,2014-06-03,16:39:00,54,aqua,Nuha , Luwu Timur , Sulawesi Selatan 
-0.804996,128.312805,2014-06-03,16:39:00,59,aqua,Gane Timur Selatan , Kab. Halmahera Barat , Maluku Utara 
-4.540397,105.449501,2014-06-03,18:16:00,37,aqua,Gane Timur Selatan , Kab. Halmahera Barat , Maluku Utara 
