Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
-7.477909,138.556122,2014-07-01,04:40:00,46,aqua,Tabonji , Merauke , Papua 
-0.83354,128.321976,2014-07-01,04:40:00,65,aqua,Gane Barat Selatan , Kab. Halmahera Barat , Maluku Utara 
-6.959163,107.792244,2014-07-01,06:17:00,27,aqua,Cikeruh , Sumedang , Jawa Barat 
-6.975076,107.610298,2014-07-01,06:17:00,29,aqua,Cikeruh , Sumedang , Jawa Barat 
-6.782358,108.596138,2014-07-01,06:17:00,65,aqua,Cikeruh , Sumedang , Jawa Barat 
-6.581032,108.195847,2014-07-01,06:17:00,78,aqua,Cikeruh , Sumedang , Jawa Barat 
-6.582331,108.186684,2014-07-01,06:17:00,75,aqua,Cikeruh , Sumedang , Jawa Barat 
-6.568107,108.156563,2014-07-01,06:17:00,77,aqua,Cikeruh , Sumedang , Jawa Barat 
-6.223346,106.470383,2014-07-01,06:17:00,60,aqua,Tigaraksa , Tangerang , Banten 
-6.224797,106.459816,2014-07-01,06:17:00,34,aqua,Tigaraksa , Tangerang , Banten 
-4.355613,104.781052,2014-07-01,06:17:00,65,aqua,Negara Batin , Way Kanan , Lampung 
-3.806324,104.34465,2014-07-01,06:17:00,66,aqua,Peninjauan , Ogan Komering Ulu , Sumatera Selatan 
-3.789951,104.382935,2014-07-01,06:17:00,64,aqua,Peninjauan , Ogan Komering Ulu , Sumatera Selatan 
-3.138627,102.79615,2014-07-01,06:17:00,47,aqua,Selangit , Musi Rawas , Sumatera Selatan 
-3.112926,101.737587,2014-07-01,06:17:00,51,aqua,Selangit , Musi Rawas , Sumatera Selatan 
-2.839861,101.46225,2014-07-01,06:17:00,53,aqua,Muko Muko Selatan , Muko-muko , Bengkulu 
-2.842904,101.440742,2014-07-01,06:17:00,55,aqua,Muko Muko Selatan , Muko-muko , Bengkulu 
-2.328005,104.026947,2014-07-01,06:17:00,70,aqua,Banyunglincir , Musi Banyuasin , Sumatera Selatan 
-2.37678,102.953606,2014-07-01,06:17:00,76,aqua,Nibung , Musi Rawas Utara , Sumatera Selatan 
-2.509418,101.215294,2014-07-01,06:17:00,33,aqua,Muko Muko Utara , Muko-muko , Bengkulu 
-2.404404,101.010765,2014-07-01,06:17:00,53,aqua,Pancung Soal , Pesisir Selatan , Sumatera Barat 
-2.407578,100.987892,2014-07-01,06:17:00,50,aqua,Pancung Soal , Pesisir Selatan , Sumatera Barat 
-1.862568,104.157761,2014-07-01,06:17:00,39,aqua,Muara Telang , Banyuasin , Sumatera Selatan 
-1.781759,104.152702,2014-07-01,06:17:00,83,aqua,Muara Telang , Banyuasin , Sumatera Selatan 
-2.03214,101.996162,2014-07-01,06:17:00,45,aqua,Sungai Manau , Merangin , Jambi 
-1.988997,102.02832,2014-07-01,06:17:00,49,aqua,Rantau Panjang , Merangin , Jambi 
-0.871993,101.694016,2014-07-01,06:17:00,62,aqua,Pulau Punjung , Dharmasraya , Sumatera Barat 
-0.613037,101.678192,2014-07-01,06:17:00,59,aqua,Kuatan Tengah , Kuantan Singingi , Riau 
0.504616,108.980507,2014-07-01,06:17:00,85,aqua,Kuatan Tengah , Kuantan Singingi , Riau 
0.503292,108.97113,2014-07-01,06:17:00,80,aqua,Kuatan Tengah , Kuantan Singingi , Riau 
0.035605,102.816284,2014-07-01,06:17:00,35,aqua,Enok , Indragiri Hilir , Riau 
0.020335,102.71048,2014-07-01,06:17:00,17,aqua,Gaunganakserka , Indragiri Hilir , Riau 
-0.325688,99.906494,2014-07-01,06:17:00,34,aqua,Gaunganakserka , Indragiri Hilir , Riau 
-0.324651,99.901604,2014-07-01,06:17:00,50,aqua,Gaunganakserka , Indragiri Hilir , Riau 
0.117154,102.829895,2014-07-01,06:17:00,57,aqua,Gaunganakserka , Indragiri Hilir , Riau 
1.373334,109.141373,2014-07-01,06:17:00,71,aqua,Gaunganakserka , Indragiri Hilir , Riau 
1.399891,109.127731,2014-07-01,06:17:00,68,aqua,Gaunganakserka , Indragiri Hilir , Riau 
1.398519,109.118095,2014-07-01,06:17:00,57,aqua,Gaunganakserka , Indragiri Hilir , Riau 
0.537633,100.210579,2014-07-01,06:17:00,44,aqua,Raomapat Tunggal , Pasaman , Sumatera Barat 
0.534181,100.186211,2014-07-01,06:17:00,83,aqua,Raomapat Tunggal , Pasaman , Sumatera Barat 
0.542991,100.202934,2014-07-01,06:17:00,78,aqua,Raomapat Tunggal , Pasaman , Sumatera Barat 
0.539529,100.179703,2014-07-01,06:17:00,69,aqua,Raomapat Tunggal , Pasaman , Sumatera Barat 
0.597543,100.380501,2014-07-01,06:17:00,74,aqua,Rokan Empat Koto , Rokan Hulu , Riau 
1.344134,102.270844,2014-07-01,06:17:00,37,aqua,Rokan Empat Koto , Rokan Hulu , Riau 
1.474961,101.909424,2014-07-01,06:17:00,57,aqua,Rokan Empat Koto , Rokan Hulu , Riau 
1.63017,101.631317,2014-07-01,06:17:00,74,aqua,Rokan Empat Koto , Rokan Hulu , Riau 
