Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
-8.199053,137.803909,2014-10-01,05:04:00,61,aqua,Waan , Merauke , Papua 
-8.16803,137.823471,2014-10-01,05:04:00,66,aqua,Waan , Merauke , Papua 
-8.151295,137.820511,2014-10-01,05:04:00,56,aqua,Waan , Merauke , Papua 
-10.142197,124.15197,2014-10-01,05:04:00,68,aqua,Amarasi Timur , Kab. Kupang , Nusa Tenggara Timur 
-10.14395,124.138527,2014-10-01,05:04:00,39,aqua,Amarasi Timur , Kab. Kupang , Nusa Tenggara Timur 
-10.131316,124.150803,2014-10-01,05:04:00,36,aqua,Amarasi Timur , Kab. Kupang , Nusa Tenggara Timur 
-10.068793,124.466042,2014-10-01,05:04:00,18,aqua,                                         , Kab. Timor Tengah Selatan , Nusa Tenggara Timur 
-10.070372,124.453827,2014-10-01,05:04:00,20,aqua,                                         , Kab. Timor Tengah Selatan , Nusa Tenggara Timur 
-10.06372,124.45932,2014-10-01,05:04:00,59,aqua,                                         , Kab. Timor Tengah Selatan , Nusa Tenggara Timur 
-7.566796,138.589401,2014-10-01,05:04:00,63,aqua,Tabonji , Merauke , Papua 
-7.567327,138.581802,2014-10-01,05:04:00,68,aqua,Tabonji , Merauke , Papua 
-9.62641,124.901184,2014-10-01,05:04:00,68,aqua,Malak Barat , Kab. Malaka , Nusa Tenggara Timur 
-7.469126,138.30603,2014-10-01,05:04:00,47,aqua,Tabonji , Merauke , Papua 
-7.470581,138.301041,2014-10-01,05:04:00,61,aqua,Tabonji , Merauke , Papua 
-9.491202,124.997353,2014-10-01,05:04:00,78,aqua,Kobalima , Kab. Malaka , Nusa Tenggara Timur 
-9.492762,124.985764,2014-10-01,05:04:00,82,aqua,Kobalima , Kab. Malaka , Nusa Tenggara Timur 
-9.414589,124.957596,2014-10-01,05:04:00,76,aqua,Kobalima , Kab. Malaka , Nusa Tenggara Timur 
-9.459094,124.305016,2014-10-01,05:04:00,86,aqua,Kobalima , Kab. Malaka , Nusa Tenggara Timur 
-9.460875,124.291336,2014-10-01,05:04:00,45,aqua,Kobalima , Kab. Malaka , Nusa Tenggara Timur 
-9.34189,125.048286,2014-10-01,05:04:00,65,aqua,Kobalima Timur , Kab. Malaka , Nusa Tenggara Timur 
-9.343365,125.037498,2014-10-01,05:04:00,62,aqua,Kobalima Timur , Kab. Malaka , Nusa Tenggara Timur 
-9.366658,124.47876,2014-10-01,05:04:00,77,aqua,                                         , Kab. Timor Tengah Utara , Nusa Tenggara Timur 
-9.905794,120.216766,2014-10-01,05:04:00,81,aqua,                                         , Kab. Timor Tengah Utara , Nusa Tenggara Timur 
-9.89115,120.214081,2014-10-01,05:04:00,71,aqua,                                         , Kab. Timor Tengah Utara , Nusa Tenggara Timur 
-9.9019,120.2351,2014-10-01,05:04:00,67,aqua,Paberiwai , Kab. Sumba Timur , Nusa Tenggara Timur 
-9.9051,120.209984,2014-10-01,05:04:00,80,aqua,Paberiwai , Kab. Sumba Timur , Nusa Tenggara Timur 
-9.153579,125.082901,2014-10-01,05:04:00,63,aqua,Lamaknen Selatan , Kab. Belu , Nusa Tenggara Timur 
-9.068965,125.027184,2014-10-01,05:04:00,89,aqua,Lasiolat , Kab. Belu , Nusa Tenggara Timur 
-9.070544,125.015732,2014-10-01,05:04:00,93,aqua,Lasiolat , Kab. Belu , Nusa Tenggara Timur 
-9.609528,119.791954,2014-10-01,05:04:00,71,aqua,Lasiolat , Kab. Belu , Nusa Tenggara Timur 
-8.761494,125.493019,2014-10-01,05:04:00,71,aqua,Lasiolat , Kab. Belu , Nusa Tenggara Timur 
-8.762959,125.482208,2014-10-01,05:04:00,83,aqua,Lasiolat , Kab. Belu , Nusa Tenggara Timur 
-7.731607,131.483719,2014-10-01,05:04:00,49,aqua,Wet Tamrian , Kab. Maluku Tenggara , Maluku 
-8.366672,127.024803,2014-10-01,05:04:00,81,aqua,Wet Tamrian , Kab. Maluku Tenggara , Maluku 
-8.178953,127.835655,2014-10-01,05:04:00,68,aqua,Serwaru , Kab. Maluku Tenggara Barat , Maluku 
-8.736992,121.977203,2014-10-01,05:04:00,57,aqua,Serwaru , Kab. Maluku Tenggara Barat , Maluku 
-8.59641,122.764793,2014-10-01,05:04:00,23,aqua,Serwaru , Kab. Maluku Tenggara Barat , Maluku 
-8.598631,122.747826,2014-10-01,05:04:00,67,aqua,Serwaru , Kab. Maluku Tenggara Barat , Maluku 
-8.480078,123.476433,2014-10-01,05:04:00,33,aqua,Serwaru , Kab. Maluku Tenggara Barat , Maluku 
-8.372502,124.21183,2014-10-01,05:04:00,11,aqua,Pantar , Kab. Alor , Nusa Tenggara Timur 
-8.367746,124.205795,2014-10-01,05:04:00,30,aqua,Pantar , Kab. Alor , Nusa Tenggara Timur 
-7.224906,131.93956,2014-10-01,05:04:00,68,aqua,Tanimbar Utara , Kab. Maluku Tenggara , Maluku 
-8.313143,124.053284,2014-10-01,05:04:00,49,aqua,Pembantu Pantar , Kab. Alor , Nusa Tenggara Timur 
-8.475699,122.568573,2014-10-01,05:04:00,54,aqua,Pembantu Pantar , Kab. Alor , Nusa Tenggara Timur 
-6.669326,134.178879,2014-10-01,05:04:00,42,aqua,Aru Selatan , Kab. Maluku Tenggara , Maluku 
-8.83769,117.933426,2014-10-01,05:04:00,92,aqua,Empang , Sumbawa , Nusa Tenggara Barat 
-8.842322,117.894638,2014-10-01,05:04:00,73,aqua,Plampang , Sumbawa , Nusa Tenggara Barat 
-8.713075,118.693771,2014-10-01,05:04:00,60,aqua,Plampang , Sumbawa , Nusa Tenggara Barat 
-8.836001,117.929146,2014-10-01,05:04:00,93,aqua,Empang , Sumbawa , Nusa Tenggara Barat 
-8.840879,117.890457,2014-10-01,05:04:00,68,aqua,Plampang , Sumbawa , Nusa Tenggara Barat 
-8.706556,118.687599,2014-10-01,05:04:00,66,aqua,Monta , Bima , Nusa Tenggara Barat 
-8.091435,122.864059,2014-10-01,05:04:00,81,aqua,Monta , Bima , Nusa Tenggara Barat 
-8.093617,122.84713,2014-10-01,05:04:00,75,aqua,Monta , Bima , Nusa Tenggara Barat 
-8.094606,122.857521,2014-10-01,05:04:00,75,aqua,Monta , Bima , Nusa Tenggara Barat 
-8.761597,117.511505,2014-10-01,05:04:00,48,aqua,Lantung , Sumbawa , Nusa Tenggara Barat 
-8.662885,117.738564,2014-10-01,05:04:00,55,aqua,Maronge , Sumbawa , Nusa Tenggara Barat 
-8.667688,117.697937,2014-10-01,05:04:00,66,aqua,Maronge , Sumbawa , Nusa Tenggara Barat 
-8.66217,117.73484,2014-10-01,05:04:00,56,aqua,Maronge , Sumbawa , Nusa Tenggara Barat 
-8.667298,117.693832,2014-10-01,05:04:00,50,aqua,Maronge , Sumbawa , Nusa Tenggara Barat 
-8.299777,118.852066,2014-10-01,05:04:00,75,aqua,Ambalawi , Bima , Nusa Tenggara Barat 
-8.48134,117.28653,2014-10-01,05:04:00,53,aqua,Ambalawi , Bima , Nusa Tenggara Barat 
-8.203791,119.074341,2014-10-01,05:04:00,64,aqua,Wera , Bima , Nusa Tenggara Barat 
-8.209428,117.616409,2014-10-01,05:04:00,74,aqua,Wera , Bima , Nusa Tenggara Barat 
-8.225682,117.610321,2014-10-01,05:04:00,46,aqua,Wera , Bima , Nusa Tenggara Barat 
-8.207999,117.60981,2014-10-01,05:04:00,77,aqua,Wera , Bima , Nusa Tenggara Barat 
-6.174347,120.458221,2014-10-01,05:04:00,59,aqua,Benteng , Selayar , Sulawesi Selatan 
-6.177407,120.435249,2014-10-01,05:04:00,52,aqua,Benteng , Selayar , Sulawesi Selatan 
-5.2056,123.044289,2014-10-01,05:04:00,74,aqua,Kab. Buton , Buton , Sulawesi Tenggara 
-5.207427,123.031204,2014-10-01,05:04:00,28,aqua,Kab. Buton , Buton , Sulawesi Tenggara 
-5.155346,122.495132,2014-10-01,05:04:00,75,aqua,Kab. Buton , Buton , Sulawesi Tenggara 
-5.019254,122.486366,2014-10-01,05:04:00,67,aqua,Kabawo , Muna , Sulawesi Tenggara 
-5.020536,122.479614,2014-10-01,05:04:00,77,aqua,Kabawo , Muna , Sulawesi Tenggara 
-4.9589,122.591682,2014-10-01,05:04:00,75,aqua,Kabawo , Muna , Sulawesi Tenggara 
-4.933687,122.437355,2014-10-01,05:04:00,38,aqua,Kabawo , Muna , Sulawesi Tenggara 
-4.866233,122.84761,2014-10-01,05:04:00,45,aqua,Warokumba Selatan , Muna , Sulawesi Tenggara 
-4.819484,122.610954,2014-10-01,05:04:00,77,aqua,Warokumba Selatan , Muna , Sulawesi Tenggara 
-4.821431,122.59639,2014-10-01,05:04:00,86,aqua,Warokumba Selatan , Muna , Sulawesi Tenggara 
-4.82337,122.581886,2014-10-01,05:04:00,43,aqua,Warokumba Selatan , Muna , Sulawesi Tenggara 
-4.819502,122.604271,2014-10-01,05:04:00,94,aqua,Warokumba Selatan , Muna , Sulawesi Tenggara 
-4.821555,122.589745,2014-10-01,05:04:00,77,aqua,Warokumba Selatan , Muna , Sulawesi Tenggara 
-4.823596,122.575287,2014-10-01,05:04:00,88,aqua,Warokumba Selatan , Muna , Sulawesi Tenggara 
-4.808293,122.602768,2014-10-01,05:04:00,92,aqua,Watopute , Muna , Sulawesi Tenggara 
-4.810331,122.588242,2014-10-01,05:04:00,89,aqua,Watopute , Muna , Sulawesi Tenggara 
-4.813381,122.484283,2014-10-01,05:04:00,82,aqua,Sawerigadi , Muna Barat , Sulawesi Tenggara 
-4.745029,122.564117,2014-10-01,05:04:00,79,aqua,Kusambi , Muna Barat , Sulawesi Tenggara 
-4.727956,122.606232,2014-10-01,05:04:00,52,aqua,Napabalano , Muna Barat , Sulawesi Tenggara 
-4.746204,122.558929,2014-10-01,05:04:00,74,aqua,Kusambi , Muna Barat , Sulawesi Tenggara 
-4.728809,122.60099,2014-10-01,05:04:00,70,aqua,Napabalano , Muna Barat , Sulawesi Tenggara 
-4.486568,123.119606,2014-10-01,05:04:00,65,aqua,Kulisusu Utara , Buton Utara , Sulawesi Tenggara 
-4.426677,123.051559,2014-10-01,05:04:00,12,aqua,Kulisusu Utara , Buton Utara , Sulawesi Tenggara 
-4.456945,122.071739,2014-10-01,05:04:00,21,aqua,Kulisusu Utara , Buton Utara , Sulawesi Tenggara 
-4.391964,122.307091,2014-10-01,05:04:00,48,aqua,Kulisusu Utara , Buton Utara , Sulawesi Tenggara 
-4.394093,122.291977,2014-10-01,05:04:00,100,aqua,Kulisusu Utara , Buton Utara , Sulawesi Tenggara 
-4.232028,122.293503,2014-10-01,05:04:00,75,aqua,Kulisusu Utara , Buton Utara , Sulawesi Tenggara 
-3.997593,121.764084,2014-10-01,05:04:00,76,aqua,Kulisusu Utara , Buton Utara , Sulawesi Tenggara 
-3.272434,122.19873,2014-10-01,05:04:00,66,aqua,Langgikima , Konawe Utara , Sulawesi Tenggara 
-3.252354,118.935524,2014-10-01,05:04:00,66,aqua,Langgikima , Konawe Utara , Sulawesi Tenggara 
-2.92003,121.170685,2014-10-01,05:04:00,76,aqua,Porehu , Kolaka Utara , Sulawesi Tenggara 
-3.195756,119.134796,2014-10-01,05:04:00,86,aqua,Bulo , Polewali Mandar , Sulawesi Barat 
-3.000268,119.124756,2014-10-01,05:04:00,46,aqua,Mambi , Mamasa , Sulawesi Barat 
-2.598291,121.690842,2014-10-01,05:04:00,61,aqua,Towuti , Luwu Timur , Sulawesi Selatan 
-2.621834,121.435234,2014-10-01,05:04:00,67,aqua,Towuti , Luwu Timur , Sulawesi Selatan 
-2.571022,121.567574,2014-10-01,05:04:00,85,aqua,Towuti , Luwu Timur , Sulawesi Selatan 
-2.52105,121.497505,2014-10-01,05:04:00,13,aqua,Nuha , Luwu Timur , Sulawesi Selatan 
-2.444996,121.212273,2014-10-01,05:04:00,42,aqua,Nuha , Luwu Timur , Sulawesi Selatan 
-2.439579,121.205849,2014-10-01,05:04:00,66,aqua,Nuha , Luwu Timur , Sulawesi Selatan 
-2.308682,121.314056,2014-10-01,05:04:00,50,aqua,Lembo Raya , Morowali Utara , Sulawesi Tengah 
-2.164002,121.515549,2014-10-01,05:04:00,65,aqua,Petasia Timur , Morowali Utara , Sulawesi Tengah 
-1.684157,121.836922,2014-10-01,05:04:00,84,aqua,Petasia Timur , Morowali Utara , Sulawesi Tengah 
-1.668748,121.864326,2014-10-01,05:04:00,71,aqua,Bungkuutara , Morowali Utara , Sulawesi Tengah 
-1.559198,121.741135,2014-10-01,05:04:00,76,aqua,Bungkuutara , Morowali Utara , Sulawesi Tengah 
-1.378341,122.985062,2014-10-01,05:04:00,47,aqua,Bungkuutara , Morowali Utara , Sulawesi Tengah 
-1.561375,121.736275,2014-10-01,05:04:00,80,aqua,Bungkuutara , Morowali Utara , Sulawesi Tengah 
-1.547894,121.749283,2014-10-01,05:04:00,75,aqua,Bungkuutara , Morowali Utara , Sulawesi Tengah 
-1.452274,121.854691,2014-10-01,05:04:00,40,aqua,Mamosalato , Morowali Utara , Sulawesi Tengah 
-1.434127,121.817207,2014-10-01,05:04:00,90,aqua,Bungkuutara , Morowali Utara , Sulawesi Tengah 
-1.676156,119.96521,2014-10-01,05:04:00,58,aqua,Pipikoro , Sigi , Sulawesi Tengah 
-1.679421,119.942383,2014-10-01,05:04:00,52,aqua,Pipikoro , Sigi , Sulawesi Tengah 
-1.478318,121.092926,2014-10-01,05:04:00,56,aqua,Tojo Barat , Tojounauna , Sulawesi Tengah 
-1.384988,121.675804,2014-10-01,05:04:00,36,aqua,Bungkuutara , Morowali Utara , Sulawesi Tengah 
-1.387332,121.670952,2014-10-01,05:04:00,60,aqua,Bungkuutara , Morowali Utara , Sulawesi Tengah 
-1.47102,121.102859,2014-10-01,05:04:00,43,aqua,Tojo Barat , Tojounauna , Sulawesi Tengah 
-1.402116,121.159569,2014-10-01,05:04:00,50,aqua,Tojo , Tojounauna , Sulawesi Tengah 
-1.557317,116.092842,2014-10-01,05:04:00,68,aqua,Longikis , Paser , Kalimantan Timur 
-1.556887,116.087143,2014-10-01,05:04:00,57,aqua,Longikis , Paser , Kalimantan Timur 
-0.854484,115.809753,2014-10-01,05:04:00,88,aqua,Dilangputi , Kutai Barat , Kalimantan Timur 
0.485553,123.94342,2014-10-01,05:04:00,48,aqua,Dumoga Barat , Bolaangmongondow , Sulawesi Utara 
-0.310899,117.308792,2014-10-01,05:04:00,70,aqua,Dumoga Barat , Bolaangmongondow , Sulawesi Utara 
-0.34366,116.800552,2014-10-01,05:04:00,48,aqua,Sebilu , Kutai Kartanegara , Kalimantan Timur 
0.600543,122.666794,2014-10-01,05:04:00,56,aqua,Boliyotuho , Gorontalo , Gorontalo 
0.722181,122.378372,2014-10-01,05:04:00,72,aqua,Wonosari , Boalemo , Gorontalo 
1.1188,124.643341,2014-10-01,05:04:00,69,aqua,Amurang , Minahasa Selatan , Sulawesi Utara 
0.699865,120.646782,2014-10-01,05:04:00,59,aqua,Amurang , Minahasa Selatan , Sulawesi Utara 
0.25965,116.850571,2014-10-01,05:04:00,73,aqua,Muarabengkal , Kutai Timur , Kalimantan Timur 
1.506084,125.221832,2014-10-01,05:04:00,51,aqua,Muarabengkal , Kutai Timur , Kalimantan Timur 
1.534053,124.906723,2014-10-01,05:04:00,61,aqua,Muarabengkal , Kutai Timur , Kalimantan Timur 
1.266531,118.11335,2014-10-01,05:04:00,52,aqua,Muarabengkal , Kutai Timur , Kalimantan Timur 
1.262708,118.087662,2014-10-01,05:04:00,62,aqua,Muarabengkal , Kutai Timur , Kalimantan Timur 
-10,124.420616,2014-10-02,05:49:00,75,aqua,                                         , Kab. Timor Tengah Selatan , Nusa Tenggara Timur 
-9.785772,123.907288,2014-10-02,05:49:00,61,aqua,Takari , Kab. Kupang , Nusa Tenggara Timur 
-9.676878,123.927338,2014-10-02,05:49:00,66,aqua,Amfoang Selatan , Kab. Kupang , Nusa Tenggara Timur 
-9.679599,123.921822,2014-10-02,05:49:00,59,aqua,Amfoang Selatan , Kab. Kupang , Nusa Tenggara Timur 
-9.511831,124.135353,2014-10-02,05:49:00,75,aqua,Amfoang Tengah , Kab. Kupang , Nusa Tenggara Timur 
-9.498545,124.134132,2014-10-02,05:49:00,81,aqua,                                         , Kab. Timor Tengah Selatan , Nusa Tenggara Timur 
-9.881484,120.323357,2014-10-02,05:49:00,76,aqua,                                         , Kab. Timor Tengah Selatan , Nusa Tenggara Timur 
-9.848371,120.409424,2014-10-02,05:49:00,90,aqua,                                         , Kab. Timor Tengah Selatan , Nusa Tenggara Timur 
-9.850081,120.398094,2014-10-02,05:49:00,91,aqua,                                         , Kab. Timor Tengah Selatan , Nusa Tenggara Timur 
-8.877925,125.108353,2014-10-02,05:49:00,77,aqua,                                         , Kab. Timor Tengah Selatan , Nusa Tenggara Timur 
-8.874767,125.100021,2014-10-02,05:49:00,78,aqua,                                         , Kab. Timor Tengah Selatan , Nusa Tenggara Timur 
-9.66187,119.257187,2014-10-02,05:49:00,86,aqua,                                         , Kab. Sumba Barat Daya , Nusa Tenggara Timur 
-9.651108,119.265434,2014-10-02,05:49:00,83,aqua,                                         , Kab. Sumba Barat Daya , Nusa Tenggara Timur 
-9.651847,119.196014,2014-10-02,05:49:00,58,aqua,Walakaka , Kab. Sumba Barat , Nusa Tenggara Timur 
-9.61557,119.120407,2014-10-02,05:49:00,49,aqua,Kodi , Kab. Sumba Barat Daya , Nusa Tenggara Timur 
-8.512622,123.425331,2014-10-02,05:49:00,57,aqua,Kodi , Kab. Sumba Barat Daya , Nusa Tenggara Timur 
-8.341947,124.082703,2014-10-02,05:49:00,33,aqua,Pembantu Pantar , Kab. Alor , Nusa Tenggara Timur 
-8.758982,120.774651,2014-10-02,05:49:00,65,aqua,Pembantu Pantar , Kab. Alor , Nusa Tenggara Timur 
-8.684051,120.806725,2014-10-02,05:49:00,55,aqua,Pembantu Pantar , Kab. Alor , Nusa Tenggara Timur 
-8.18411,122.93264,2014-10-02,05:49:00,41,aqua,Tanjungbunga , Kab. Flores Timur , Nusa Tenggara Timur 
-9.022412,117.259056,2014-10-02,05:49:00,45,aqua,Tanjungbunga , Kab. Flores Timur , Nusa Tenggara Timur 
-8.141704,122.962425,2014-10-02,05:49:00,33,aqua,Tanjungbunga , Kab. Flores Timur , Nusa Tenggara Timur 
-8.950552,117.242027,2014-10-02,05:49:00,48,aqua,Tanjungbunga , Kab. Flores Timur , Nusa Tenggara Timur 
-8.951845,117.233002,2014-10-02,05:49:00,92,aqua,Tanjungbunga , Kab. Flores Timur , Nusa Tenggara Timur 
-9.01249,116.807678,2014-10-02,05:49:00,83,aqua,Jereweh , Sumbawa Barat , Nusa Tenggara Barat 
-9.013776,116.798622,2014-10-02,05:49:00,75,aqua,Jereweh , Sumbawa Barat , Nusa Tenggara Barat 
-8.941583,117.240707,2014-10-02,05:49:00,73,aqua,Jereweh , Sumbawa Barat , Nusa Tenggara Barat 
-8.942875,117.231682,2014-10-02,05:49:00,70,aqua,Jereweh , Sumbawa Barat , Nusa Tenggara Barat 
-8.723922,118.055,2014-10-02,05:49:00,68,aqua,Tarano , Sumbawa , Nusa Tenggara Barat 
-8.663939,118.149452,2014-10-02,05:49:00,55,aqua,Tarano , Sumbawa , Nusa Tenggara Barat 
-8.785793,115.936272,2014-10-02,05:49:00,62,aqua,Tarano , Sumbawa , Nusa Tenggara Barat 
-8.575615,117.355598,2014-10-02,05:49:00,78,aqua,Unteriwis , Sumbawa , Nusa Tenggara Barat 
-8.78661,115.872009,2014-10-02,05:49:00,74,aqua,Unteriwis , Sumbawa , Nusa Tenggara Barat 
-8.567939,117.345253,2014-10-02,05:49:00,77,aqua,Batulanteh , Sumbawa , Nusa Tenggara Barat 
-8.681504,114.445396,2014-10-02,05:49:00,45,aqua,Tegaldimo , Banyuwangi , Jawa Timur 
-8.368832,113.821213,2014-10-02,05:49:00,75,aqua,Tegaldimo , Banyuwangi , Jawa Timur 
-8.058416,114.152573,2014-10-02,05:49:00,54,aqua,Botolinggo , Bondowoso , Jawa Timur 
-8.11152,112.921677,2014-10-02,05:49:00,77,aqua,Ampel Gading , Malang , Jawa Timur 
-3.251015,121.691345,2014-10-02,05:49:00,58,aqua,Ampel Gading , Malang , Jawa Timur 
-3.2454,121.7024,2014-10-02,05:49:00,55,aqua,Ampel Gading , Malang , Jawa Timur 
-4.012845,116.132019,2014-10-02,05:49:00,78,aqua,Ampel Gading , Malang , Jawa Timur 
-3.948562,116.125496,2014-10-02,05:49:00,60,aqua,Pulaulaut Barat , Kotabaru , Kalimantan Selatan 
-3.906364,116.228714,2014-10-02,05:49:00,65,aqua,Pulaulaut Selatan , Kotabaru , Kalimantan Selatan 
-3.897405,116.227425,2014-10-02,05:49:00,30,aqua,Pulaulaut Selatan , Kotabaru , Kalimantan Selatan 
-3.894827,116.181511,2014-10-02,05:49:00,66,aqua,Pulaulaut Kepulauan , Kotabaru , Kalimantan Selatan 
-4.084445,114.84465,2014-10-02,05:49:00,43,aqua,Jorong , Tanah Laut , Kalimantan Selatan 
-3.869249,116.232468,2014-10-02,05:49:00,89,aqua,Pulaulaut Selatan , Kotabaru , Kalimantan Selatan 
