Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
0.277637,102.347931,2017-02-04,06:34:00,22,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
-0.177222,101.871719,2017-02-06,06:23:00,61,aqua,Pangkalan Kuras , Kab. Pelalawan , Riau 
0.670991,102.827316,2017-02-08,03:17:00,50,terra,Sungai Apit , Kab. Siak , Riau 
0.668941,102.841019,2017-02-08,03:17:00,55,terra,Sungai Apit , Kab. Siak , Riau 
0.872224,101.797043,2017-02-09,04:00:00,33,terra,Siak Sri Indrapura , Kab. Siak , Riau 
0.869753,101.813515,2017-02-09,04:00:00,43,terra,Siak Sri Indrapura , Kab. Siak , Riau 
-0.759309,103.226,2017-02-10,06:30:25,72,snpp,Reteh , Indragiri Hilir , Riau 
-0.602783,102.3,2017-02-10,06:30:25,37,snpp,Seberida , Indragiri Hulu , Riau 
-0.292173,101.661,2017-02-10,06:30:25,78,snpp,Logas Tanah Darat , Kuantan Singingi , Riau 
0.0896063,103.518,2017-02-10,06:30:25,61,snpp,Mandah , Indragiri Hilir , Riau 
-0.034382,102.394,2017-02-10,06:30:25,96,snpp,Kerumutan , Pelalawan , Riau 
-0.145762,101.616,2017-02-10,06:30:25,32,snpp,Langgam , Pelalawan , Riau 
2.04843,100.554,2017-02-10,06:31:51,90,snpp,Kubu , Rokan Hilir , Riau 
-0.107231,101.017,2017-02-10,06:30:25,60,snpp,Kampar Kiri Hulu , Kampar , Riau 
2.04725,100.547,2017-02-10,06:31:51,100,snpp,Kubu , Rokan Hilir , Riau 
0.572276,102.162,2017-02-10,06:30:25,55,snpp,Pelalawan , Pelalawan , Riau 
2.05424,100.546,2017-02-10,06:31:51,100,snpp,Kubu , Rokan Hilir , Riau 
0.220335,102.294243,2017-02-13,03:35:00,60,terra,Kuala Kampar , Kab. Pelalawan , Riau 
0.190799,102.767128,2017-02-13,06:30:00,52,aqua,Kuala Kampar , Kab. Pelalawan , Riau 
0.879996,102.508972,2017-02-13,06:30:00,79,aqua,Tebingtinggi Barat , Kab. Kepulauan Meranti , Riau 
1.009182,101.773956,2017-02-13,06:30:00,50,aqua,Siak , Kab. Siak , Riau 
1.449952,100.520386,2017-02-13,06:30:00,68,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.760766,101.115166,2017-02-13,06:30:00,51,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.926023,101.200653,2017-02-13,06:30:00,37,aqua,Dumai Barat , Kota Dumai , Riau 
1.455133,100.53096,2017-02-13,18:53:00,34,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.83999,101.23,2017-02-16,06:19:19,45,snpp,Sungai Sembilan , Dumai , Riau 
1.916093,101.525139,2017-02-17,03:11:00,35,terra,Rupat Utara , Kab. Bengkalis , Riau 
1.416373,101.757149,2017-02-17,06:04:00,48,aqua,Bukit Batu , Kab. Bengkalis , Riau 
1.621155,101.263107,2017-02-17,06:04:00,39,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.61629,101.230103,2017-02-17,06:04:00,65,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.629197,101.254478,2017-02-17,06:04:00,61,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.624115,101.221481,2017-02-17,06:04:00,37,aqua,Tanah Putih , Kab. Rokan Hilir , Riau 
1.62346,101.25,2017-02-17,06:00:23,100,snpp,Tanah Putih , Rokan Hilir , Riau 
1.62228,101.242,2017-02-17,06:00:23,100,snpp,Tanah Putih , Rokan Hilir , Riau 
1.62109,101.235,2017-02-17,06:00:23,48,snpp,Tanah Putih , Rokan Hilir , Riau 
1.65572,101.21109,2017-02-17,15:30:00,73,terra,Tanah Putih , Kab. Rokan Hilir , Riau 
1.62947,101.242,2017-02-17,18:40:01,100,snpp,Tanah Putih , Rokan Hilir , Riau 
