Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
-2.702824,112.634056,2016-06-01,02:54:00,69,terra,Seruyan Hilir , Seruyan , Kalimantan Tengah 
-4.684259,105.304314,2016-06-01,02:54:00,67,terra,Nunyai , Lampung Tengah , Lampung 
-7.389378,112.752365,2016-06-01,02:54:00,43,terra,Gedangan , Sidoarjo , Jawa Timur 
-7.562116,112.610275,2016-06-01,02:54:00,69,terra,Ngoro , Mojokerto , Jawa Timur 
-7.563476,112.619606,2016-06-01,02:54:00,32,terra,Ngoro , Mojokerto , Jawa Timur 
-8.123203,112.931824,2016-06-01,02:54:00,54,terra,Pronojiwo , Lumajang , Jawa Timur 
4,97,2016-06-01,04:33:00,64,terra,Terangon , Gayo Lues , Aceh 
4.70217,97.126801,2016-06-01,04:33:00,61,terra,Bandar , Bener Meriah , Aceh 
3.17889,98.022896,2016-06-01,04:33:00,34,terra,Mardinding , Karo , Sumatera Utara 
-9.398907,119.409683,2016-06-01,05:46:00,49,aqua,                                         , Kab. Sumba Barat , Nusa Tenggara Timur 
-8.121908,112.908745,2016-06-01,05:46:00,45,aqua,Ampel Gading , Malang , Jawa Timur 
-3.4135,140.776,2016-06-01,04:10:43,58,snpp,Senggi , Keerom , Papua 
-9,119,2016-06-01,05:49:00,50,aqua,Senggi , Keerom , Papua 
-8.31198,113.322,2016-06-01,05:51:43,32,snpp,Kencong , Jember , Jawa Timur 
-8.11644,112.923,2016-06-01,05:51:43,17,snpp,Pronojiwo , Lumajang , Jawa Timur 
-8.10951,112.923,2016-06-01,05:51:43,61,snpp,Ampel Gading , Malang , Jawa Timur 
-7.79047,112.016,2016-06-01,05:51:43,67,snpp,Gampengrejo , Kediri , Jawa Timur 
-2.70243,112.634,2016-06-01,05:53:08,66,snpp,Seruyan Hilir , Seruyan , Kalimantan Tengah 
-2.17591,115.574,2016-06-01,05:53:08,70,snpp,Juai , Balangan , Kalimantan Selatan 
-3.15078,104.092,2016-06-01,05:53:08,88,snpp,Abab , Penukal Abab Lematang Ilir , Sumatera Selatan 
-4,105,2016-06-01,18:11:00,62,aqua,Lempung , Ogan Komering Ilir , Sumatera Selatan 
-4.551957,105.366722,2016-06-01,18:11:00,53,aqua,Nunyai , Lampung Tengah , Lampung 
-4.549879,105.353928,2016-06-01,18:10:00,75,aqua,Nunyai , Lampung Tengah , Lampung 
-4.551765,105.366364,2016-06-01,18:10:00,71,aqua,Nunyai , Lampung Tengah , Lampung 
3.701959,98.584717,2016-06-02,03:38:00,57,terra,Hamparan Perak , Deliserdang , Sumatera Utara 
1.699839,101.162651,2016-06-02,03:38:00,55,terra,Tanah Putih , Rokan Hilir , Riau 
1.265555,102.04213,2016-06-02,03:38:00,34,terra,Bukit Batu , Bengkalis , Riau 
0.99153,103.024391,2016-06-02,03:38:00,50,terra,Tebing Tinggi , Kepulauan Meranti , Riau 
0.990528,102.96936,2016-06-02,03:38:00,48,terra,Tebing Tinggi , Kepulauan Meranti , Riau 
1.0334,101.742798,2016-06-02,03:38:00,42,terra,Siak , Siak , Riau 
